Test, Test, Test
Test2, Test2, Test2
2023-03-02 16:00:27, Humidity, 580
2023-03-02 16:00:27, Temperature, 20
2023-03-02 16:00:34, Humidity, 562
2023-03-02 16:00:34, Temperature, 24
2023-03-02 16:00:41, Humidity, 536
2023-03-02 16:00:41, Temperature, 23
2023-03-02 16:00:48, Humidity, 548
2023-03-02 16:00:48, Temperature, 22
2023-03-02 16:00:54, Humidity, 532
2023-03-02 16:00:54, Temperature, 24
2023-03-02 16:01:01, Humidity, 572
2023-03-02 16:01:01, Temperature, 24
2023-03-02 16:01:07, Humidity, 543
2023-03-02 16:01:07, Temperature, 21
2023-03-02 16:01:14, Humidity, 587
2023-03-02 16:01:14, Temperature, 19
2023-03-02 16:01:21, Humidity, 536
2023-03-02 16:01:21, Temperature, 25
2023-03-02 16:01:28, Humidity, 505
2023-03-02 16:01:28, Temperature, 20
2023-03-02 16:01:35, Humidity, 503
2023-03-02 16:01:35, Temperature, 19
2023-03-02 16:01:42, Humidity, 542
2023-03-02 16:01:42, Temperature, 21
2023-03-02 16:01:49, Humidity, 542
2023-03-02 16:01:49, Temperature, 25
2023-03-02 16:01:56, Humidity, 551
2023-03-02 16:01:56, Temperature, 25
2023-03-02 16:02:03, Humidity, 505
2023-03-02 16:02:03, Temperature, 20
2023-03-02 16:02:10, Humidity, 519
2023-03-02 16:02:10, Temperature, 20
2023-03-02 16:02:17, Humidity, 515
2023-03-02 16:02:17, Temperature, 24
2023-03-02 16:02:24, Humidity, 547
2023-03-02 16:02:24, Temperature, 25
2023-03-02 16:02:31, Humidity, 507
2023-03-02 16:02:31, Temperature, 21
2023-03-02 16:02:38, Humidity, 506
2023-03-02 16:02:38, Temperature, 19
2023-03-02 16:02:45, Humidity, 580
2023-03-02 16:02:45, Temperature, 24
2023-03-02 16:02:52, Humidity, 541
2023-03-02 16:02:52, Temperature, 25
2023-03-02 16:02:59, Humidity, 590
2023-03-02 16:02:59, Temperature, 23
2023-03-02 16:03:06, Humidity, 520
2023-03-02 16:03:06, Temperature, 20
2023-03-02 16:03:13, Humidity, 529
2023-03-02 16:03:13, Temperature, 19
2023-03-02 16:03:20, Humidity, 583
2023-03-02 16:03:20, Temperature, 24
2023-03-02 16:03:27, Humidity, 585
2023-03-02 16:03:27, Temperature, 25
2023-03-02 16:03:33, Humidity, 502
2023-03-02 16:03:33, Temperature, 23
2023-03-02 16:03:40, Humidity, 532
2023-03-02 16:03:40, Temperature, 24
2023-03-02 16:03:53, Humidity, 563
2023-03-02 16:03:53, Temperature, 23
2023-03-02 16:03:59, Humidity, 577
2023-03-02 16:03:59, Temperature, 19
2023-03-02 16:04:06, Humidity, 521
2023-03-02 16:04:06, Temperature, 19
2023-03-02 16:04:13, Humidity, 507
2023-03-02 16:04:13, Temperature, 25
2023-03-02 16:04:20, Humidity, 534
2023-03-02 16:04:20, Temperature, 21
2023-03-02 16:04:27, Humidity, 592
2023-03-02 16:04:27, Temperature, 21
2023-03-02 16:04:34, Humidity, 579
2023-03-02 16:04:34, Temperature, 23
2023-03-02 16:04:41, Humidity, 578
2023-03-02 16:04:41, Temperature, 25
2023-03-02 16:04:48, Humidity, 515
2023-03-02 16:04:48, Temperature, 22
2023-03-02 16:04:55, Humidity, 506
2023-03-02 16:04:55, Temperature, 19
2023-03-02 16:05:02, Humidity, 524
2023-03-02 16:05:02, Temperature, 25
2023-03-02 16:05:09, Humidity, 530
2023-03-02 16:05:09, Temperature, 24
2023-03-02 16:05:16, Humidity, 508
2023-03-02 16:05:16, Temperature, 19
2023-03-02 16:05:23, Humidity, 516
2023-03-02 16:05:23, Temperature, 23
2023-03-02 16:05:30, Humidity, 583
2023-03-02 16:05:30, Temperature, 23
2023-03-02 16:05:37, Humidity, 528
2023-03-02 16:05:37, Temperature, 21
2023-03-02 16:05:44, Humidity, 511
2023-03-02 16:05:44, Temperature, 21
2023-03-02 16:05:51, Humidity, 519
2023-03-02 16:05:51, Temperature, 25
